"","IPCA"
"2000-01-31",6.70573705179283
"2000-02-29",6.36131474103586
"2000-03-31",5.90458167330677
"2000-04-28",5.80617529880478
"2000-05-31",5.36135458167331
"2000-06-30",5.12027888446215
"2000-07-31",4.95904382470119
"2000-08-31",4.9492828685259
"2000-09-29",4.79211155378486
"2000-10-31",4.61792828685259
"2000-11-30",4.45645418326693
"2000-12-29",4.30685258964143
"2001-01-31",4.16812749003984
"2001-02-28",4.1203187250996
"2001-03-30",4.14462151394422
"2001-04-30",4.27231075697211
"2001-05-31",4.62549800796813
"2001-06-29",4.81593625498008
"2001-07-31",4.90418326693227
"2001-08-31",5.14589641434263
"2001-09-28",5.26613545816733
"2001-10-31",5.33772908366534
"2001-11-30",5.27406374501992
"2001-12-31",4.8
"2002-01-31",4.73625498007968
"2002-02-28",4.73135458167331
"2002-03-28",4.79553784860558
"2002-04-30",4.98302788844622
"2002-05-31",4.8608764940239
"2002-06-28",4.7802390438247
"2002-07-31",5.04258964143426
"2002-08-30",5.45119521912351
"2002-09-30",5.83657370517928
"2002-10-31",8.06191235059761
"2002-11-29",10.7080478087649
"2002-12-31",11
"2003-01-31",11.1658964143426
"2003-02-28",11.6399601593626
"2003-03-31",11.2247011952191
"2003-04-30",10.9231474103586
"2003-05-30",10.2864541832669
"2003-06-30",9.10486055776892
"2003-07-31",7.99498007968127
"2003-08-29",7.35466135458167
"2003-09-30",7.08733067729084
"2003-10-31",6.61745019920319
"2003-11-28",6.29231075697211
"2003-12-30",6.01282868525896
"2004-01-30",5.93354581673307
"2004-02-27",5.85709163346614
"2004-03-31",5.75697211155379
"2004-04-30",5.78776892430279
"2004-05-31",6.01115537848606
"2004-06-30",6.24884462151394
"2004-07-30",6.19681274900398
"2004-08-31",6.09896414342629
"2004-09-30",6.18501992031872
"2004-10-29",6.12270916334661
"2004-11-30",5.92382470119522
"2004-12-30",5.70705179282869
"2005-01-31",5.6902390438247
"2005-02-28",5.57163346613546
"2005-03-31",5.66613545816733
"2005-04-29",5.86693227091633
"2005-05-31",5.78422310756972
"2005-06-30",5.490796812749
"2005-07-29",5.23019920318725
"2005-08-31",5.01713147410359
"2005-09-30",4.77788844621514
"2005-10-31",4.71880478087649
"2005-11-30",4.61286852589641
"2005-12-30",4.50470119521912
"2006-01-31",4.60123505976096
"2006-02-24",4.57673306772908
"2006-03-31",4.5
"2006-04-28",4.40462151394422
"2006-05-31",4.3997609561753
"2006-06-30",4.23689243027888
"2006-07-31",4.1790438247012
"2006-08-31",4.20884462151394
"2006-09-29",3.96342629482072
"2006-10-31",3.93091633466135
"2006-11-30",4.02051792828685
"2006-12-29",3.99645418326693
"2007-01-31",4.07362549800797
"2007-02-28",3.90752988047809
"2007-03-30",3.89346613545817
"2007-04-30",3.78454183266932
"2007-05-31",3.70517928286853
"2007-06-29",3.81641434262948
"2007-07-31",3.89442231075697
"2007-08-31",3.97322709163347
"2007-09-28",4.07410358565737
"2007-10-31",4.05816733067729
"2007-11-30",4.08828685258964
"2007-12-31",4.3
"2008-01-31",4.41167330677291
"2008-02-29",4.39247011952191
"2008-03-31",4.42868525896414
"2008-04-30",4.68278884462151
"2008-05-30",5.11888446215139
"2008-06-30",5.57896414342629
"2008-07-31",5.65880478087649
"2008-08-29",5.45227091633466
"2008-09-30",5.17892430278884
"2008-10-31",5.26916334661355
"2008-11-28",5.350796812749
"2008-12-31",5
"2009-01-30",4.59203187250996
"2009-02-27",4.63513944223108
"2009-03-31",4.36374501992032
"2009-04-30",4.30653386454183
"2009-05-29",4.31780876494024
"2009-06-30",4.3704780876494
"2009-07-31",4.41334661354582
"2009-08-31",4.3
"2009-09-30",4.37450199203187
"2009-10-30",4.41916334661355
"2009-11-30",4.44243027888446
"2009-12-31",4.5
"2010-01-29",4.61091633466136
"2010-02-26",4.85247011952191
"2010-03-31",5.08521912350598
"2010-04-30",5.21745019920319
"2010-05-31",5.31298804780876
"2010-06-30",5.17948207171315
"2010-07-30",4.99848605577689
"2010-08-31",4.92362549800797
"2010-09-30",4.98549800796813
"2010-10-29",5.04139442231076
"2010-11-30",5.24685258964143
"2010-12-31",5.32
"2011-01-31",5.59270916334661
"2011-02-28",5.63745019920319
"2011-03-31",5.77211155378486
"2011-04-29",5.92788844621514
"2011-05-31",5.7603984063745
"2011-06-30",5.63127490039841
"2011-07-29",5.7305577689243
"2011-08-31",5.57147410358566
"2011-09-30",5.78243027888446
"2011-10-31",5.74059760956175
"2011-11-30",5.60115537848606
"2011-12-30",5.32490039840637
"2012-01-31",5.26689243027888
"2012-02-29",5.2208764940239
"2012-03-30",5.32498007968127
"2012-04-30",5.28374501992032
"2012-05-31",5.32876494023904
"2012-06-29",5.20932270916335
"2012-07-31",5.28462151394422
"2012-08-31",5.40625498007968
"2012-09-28",5.44892430278885
"2012-10-31",5.40669322709163
"2012-11-30",5.40250996015936
"2012-12-31",5.47
"2013-01-31",5.66565737051793
"2013-02-28",5.66812749003984
"2013-03-28",5.70294820717131
"2013-04-30",5.7196015936255
"2013-05-31",5.8
"2013-06-28",5.87490039840637
"2013-07-31",5.80776892430279
