"M3","M6","M9","M12","M15","M18","M21","M24","M27","M30","M33","M36","M39","M48","M60","M72"
9.91003483698418,10.7845639832667,11.3319561766842,11.6332559477541,11.7751382064842,11.7748538921881,11.715007447373,11.6298187899718,11.508353962447,11.3326201711194,11.1839341315966,11.0823088403233,11.0013332684201,10.8688582372586,10.7734922273759,10.7708539031111
9.95261390959857,10.8589730709244,11.4602297016436,11.8167089409939,12.0007289662061,12.0282793985465,12.0026685033653,11.938492059954,11.8344943629944,11.660263571566,11.5340420890079,11.4318444023546,11.3514273057273,11.2134845438157,11.1162393208473,11.0923534247221
9.99450694924516,10.9160106495925,11.4953292843996,11.8341026198335,12.0010978941223,12.0406651907232,12.0413854587564,12.0033050879852,11.9204904007119,11.789545009424,11.6538230381644,11.5548382183108,11.4863608312119,11.3508646122632,11.2301006788293,11.1983200271558
10.0384394581904,10.8916286110724,11.4397930308216,11.7664429694696,11.9313563499981,11.9622136200278,11.9705633512629,11.9466700483072,11.87689497535,11.7615020530613,11.6447641776849,11.5598965069978,11.5058553289073,11.3771673989894,11.2673804368553,11.2400972430994
10.0844251953992,10.896329826308,11.4552622074466,11.7779340681371,11.9432798555573,11.9826850587782,12.0146325975206,12.0103716247717,11.9675467084522,11.8798997615481,11.7428882033206,11.6651303282787,11.6318627750118,11.4868446095443,11.3477960384149,11.3154702464331
10.1734039837332,10.9815272173836,11.540702267623,11.8615473601221,12.0288813586495,12.0825103636662,12.100891124207,12.091190610144,12.0482360145122,11.9760570651242,11.8440744836075,11.7613493295199,11.6998968013003,11.5581484068059,11.4368776233292,11.3879613562589
10.2134444987571,11.0080445887252,11.5275061147559,11.8333383715529,11.9875820116339,12.0458497819516,12.0761978045659,12.079951333094,12.0361281515508,11.9468907371991,11.8550472655912,11.7891723117498,11.742524868355,11.584229509329,11.4469661043111,11.4242946394355
10.2383361762922,11.0050949524311,11.4670395400309,11.7174380613558,11.8441731318729,11.8636527283132,11.880997836341,11.8798507163543,11.8206466131775,11.7223025720538,11.6025963043406,11.5421348635391,11.4988272263581,11.2945339560259,11.1362465526201,11.1327364782094
10.2889643441504,11.0681932955225,11.5168356082686,11.7616822754993,11.8958024108272,11.9215794734002,11.9260480060898,11.9109220568932,11.8439009894214,11.7391203232751,11.6133639283699,11.5415366432478,11.4873192688925,11.2670910297592,11.0992051098672,11.0808869087319
10.3261638964207,11.0965007907773,11.5631528570714,11.8071429224971,11.9301491997381,11.9393454846399,11.9389494203714,11.9084455279316,11.841179811934,11.7481608592193,11.6306952707295,11.5584466778387,11.5059964222351,11.2974148088345,11.158964705838,11.1352122133465
10.3888412961674,11.2037854068254,11.6262339653581,11.8778912624063,12.0069390249708,12.0260150452357,12.0394210680337,12.0396668187106,11.9829301040006,11.9108558692138,11.8131431929048,11.7327998170064,11.6614176015118,11.5001922006289,11.3530158620114,11.2988982001544
10.4291777484149,11.2199340057165,11.6557148987482,11.9132219986852,12.0573697549416,12.1121862148885,12.1410056122075,12.1395645259887,12.0741092369498,11.9708214040037,11.8406597195484,11.7344058977191,11.6546854106912,11.5390346336002,11.4231472427716,11.3966019770505
10.4693163416137,11.2320572471546,11.6539561819119,11.8962812356282,12.0084812495286,12.0133351211173,12.0165957368205,11.9837721205226,11.8995385952784,11.7915394160332,11.6627253771275,11.561657525433,11.4857571238957,11.3470053399638,11.2142541212124,11.170103920476
10.5043849308364,11.2339876948258,11.6180224712815,11.8348793614379,11.8978354027871,11.8746436908522,11.8675154874775,11.8146789897244,11.7207044343689,11.6108184573251,11.4706062333581,11.3761028174952,11.3041818972322,11.1512936954791,11.0226657676352,10.9902525741888
10.542459426541,11.2801725471182,11.6142923559981,11.8173140795745,11.8901339061257,11.8690426575335,11.8687989376786,11.8297852011457,11.7470162768702,11.645381221796,11.4892627433861,11.4131012935665,11.3556020492383,11.2389015822001,11.1764517199975,11.1876287003828
10.6239725999562,11.3233002763417,11.6093444962977,11.7821251829645,11.8363465861755,11.8112353882373,11.796208248172,11.7579099786862,11.6565548470292,11.5491282035127,11.4230218587708,11.3453121502857,11.2887739311698,11.1597278947449,11.100273300684,11.1067544011216
10.6712736425505,11.3426799422143,11.625346736725,11.7999391715866,11.8560840700753,11.8321480714839,11.812904678769,11.7625869320294,11.6499707873195,11.5309115427525,11.3785815381948,11.305386583171,11.2428601227578,11.0995860464718,11.0297162656206,11.0605346113347
10.7347963515047,11.4198602813524,11.744259923773,11.9486609094924,12.0240729336487,11.9950452396087,11.9589774899306,11.8859139936193,11.7549475622578,11.6135448138452,11.4530299202044,11.3620904368862,11.2890967295012,11.1150214494366,10.9821926227869,10.9872440166816
10.7953525584617,11.5301487087598,11.8751025311201,12.1170710395116,12.2231758354174,12.2199622990835,12.2118399086152,12.1715458090581,12.0650533215,11.9406257117054,11.781899592109,11.6811987851529,11.5996877853826,11.396102944936,11.271606441991,11.2515954739886
10.8453526121222,11.5306356865515,11.8684631323347,12.1097366757677,12.2371130279834,12.2364012587112,12.2307182538837,12.1888303338053,12.0730358694511,11.9456631125325,11.799460857462,11.7089237572152,11.6184514007333,11.4196128047739,11.2864790800129,11.3339033199436
10.9244286862905,11.6054152758163,11.9437768292017,12.1601808936776,12.2495787289951,12.2496670724389,12.232579245726,12.2125558256485,12.0833834038482,11.9396946964712,11.769806126822,11.6839266457523,11.5875338250209,11.351994864341,11.2130696219023,11.233743570415
10.9554163099158,11.597730674372,11.9144355506261,12.1059399876776,12.1626034309439,12.1304202843954,12.1072645337686,12.066684227781,11.9321708349107,11.7829094434916,11.610887599551,11.5114075844993,11.4158361049905,11.1788173278974,11.0693158309507,11.0879781980618
11.0008193069093,11.6030560025629,11.9062321108305,12.082542431156,12.1391959028907,12.1005482430422,12.0693068633563,11.9940164645451,11.8340306261066,11.665462350786,11.4789409297744,11.3705590247855,11.2777288221063,11.0669107166431,10.9494232090874,10.9748091050722
11.0080077050548,11.490178260443,11.7349822106977,11.8662901494115,11.9053786341546,11.889303584091,11.857752165194,11.7876002320521,11.6407635366615,11.4925791674239,11.3262652009861,11.2242994547638,11.1296649946302,10.9425761083617,10.843333026826,10.9065627694323
11.04482986693,11.5154990531832,11.7789572828206,11.9220586097589,11.9691930536649,11.9703881581907,11.9582982147276,11.8970102148581,11.764626381922,11.624531678754,11.476762059795,11.4012046323549,11.3169995443642,11.1433876742621,11.0835785034456,11.1655337982305
11.0883699576709,11.5521920570327,11.7816418845177,11.9098784003043,11.9440854075155,11.9303650782943,11.9028971876409,11.8336161417846,11.686672727631,11.5365768917553,11.3702096437523,11.2954173541971,11.2102113825412,11.0272136133014,10.9559497718927,11.0436427957533
11.0937114906674,11.60278812684,11.8959096337835,12.0580450103109,12.1080983425419,12.1002599345315,12.0662647585866,11.9955016291604,11.860682151632,11.7148829197766,11.5504441302668,11.4637713317954,11.3707809855869,11.1771791089128,11.1114781143898,11.1767225741172
11.120446975599,11.6488285963056,11.9747052500881,12.1702914510064,12.2439279189262,12.239955936138,12.2201247234607,12.163928436168,12.0264855288448,11.8822904252621,11.7247315238703,11.601539059194,11.4918984224007,11.2462911962692,11.1484006185224,11.1543053388749
11.1483176213673,11.6939386425746,12.0473872186719,12.2679600947235,12.3393721393149,12.3510506984784,12.3315421577555,12.2895815944561,12.1501729110018,11.9951513714776,11.8321756154731,11.7212600617853,11.6172911043242,11.3746769432141,11.284398334767,11.2524275257193
11.1839318582788,11.7388631128496,12.1180437146115,12.3542513127689,12.4635742075769,12.4903055521928,12.4998593762319,12.477491282783,12.3281344749038,12.1614845105139,11.9932095930909,11.897327872027,11.7640988563698,11.4915460153167,11.3689997791703,11.3348460900819
